"Year","DISTRICTE","BARRI","Numero"
2019,"CIUTAT VELLA","el Barri Gòtic",772
2019,"CIUTAT VELLA","el Raval",766
2019,"CIUTAT VELLA","la Barceloneta",242
2019,"CIUTAT VELLA","Sant Pere Santa Caterina i la Ribera",655
2019,"GRACIA","el Camp d'en Grassot i Gràcia Nova",908
2019,"GRACIA","el Coll",80
2019,"GRACIA","la Salut",148
2019,"GRACIA","la Vila de Gràcia",3009
2019,"GRACIA","Vallcarca i els Penitents",160
2019,"HORTA-GUINARDÓ","Can Baró",80
2019,"HORTA-GUINARDÓ","el Baix Guinardó",424
2019,"HORTA-GUINARDÓ","el Carmel",132
2019,"HORTA-GUINARDÓ","el Guinardó",280
2019,"HORTA-GUINARDÓ","Horta",24
2019,"HORTA-GUINARDÓ","la Font d'en Fargues",16
2019,"HORTA-GUINARDÓ","la Teixonera",36
2019,"HORTA-GUINARDÓ","la Vall d'Hebron",4
2019,"HORTA-GUINARDÓ","Sant Genís dels Agudells",14
2019,"L'EIXAMPLE","el Fort Pienc",1322
2019,"L'EIXAMPLE","l'Antiga Esquerra de l'Eixample",2825
2019,"L'EIXAMPLE","la Dreta de l'Eixample",6603
2019,"L'EIXAMPLE","la Nova Esquerra de l'Eixample",1648
2019,"L'EIXAMPLE","la Sagrada Família",3068
2019,"L'EIXAMPLE","Sant Antoni",2342
2019,"LES CORTS","la Maternitat i Sant Ramon",184
2019,"LES CORTS","les Corts",834
2019,"LES CORTS","Pedralbes",44
2019,"NOU BARRIS","Canyelles",4
2019,"NOU BARRIS","la Guineueta",4
2019,"NOU BARRIS","la Prosperitat",12
2019,"NOU BARRIS","les Roquetes",8
2019,"NOU BARRIS","Porta",32
2019,"NOU BARRIS","Verdun",12
2019,"NOU BARRIS","Vilapicina i la Torre Llobeta",36
2019,"SANT ANDREU","el Bon Pastor",4
2019,"SANT ANDREU","el Congrés i els Indians",24
2019,"SANT ANDREU","la Sagrera",88
2019,"SANT ANDREU","la Trinitat Vella",16
2019,"SANT ANDREU","Navas",68
2019,"SANT ANDREU","Sant Andreu",112
2019,"SANT MARTI","Diagonal Mar i el Front Marítim del Poblenou",512
2019,"SANT MARTI","el Besòs i el Maresme",128
2019,"SANT MARTI","el Camp de l'Arpa del Clot",1062
2019,"SANT MARTI","el Clot",200
2019,"SANT MARTI","el Parc i la Llacuna del Poblenou",404
2019,"SANT MARTI","el Poblenou",1556
2019,"SANT MARTI","la Verneda i la Pau",36
2019,"SANT MARTI","la Vila Olímpica del Poblenou",432
2019,"SANT MARTI","Provençals del Poblenou",136
2019,"SANT MARTI","Sant Martí de Provençals",60
2019,"SANTS-MONTJUÏC","el Poble Sec",2064
2019,"SANTS-MONTJUÏC","Hostafrancs",708
2019,"SANTS-MONTJUÏC","la Bordeta",176
2019,"SANTS-MONTJUÏC","la Font de la Guatlla",292
2019,"SANTS-MONTJUÏC","la Marina de Port",28
2019,"SANTS-MONTJUÏC","la Marina del Prat Vermell",12
2019,"SANTS-MONTJUÏC","Sants",980
2019,"SANTS-MONTJUÏC","Sants - Badal",424
2019,"SARRIA-SANT GERVASI","el Putxet i el Farró",620
2019,"SARRIA-SANT GERVASI","les Tres Torres",140
2019,"SARRIA-SANT GERVASI","Sant Gervasi - Galvany",976
2019,"SARRIA-SANT GERVASI","Sant Gervasi - la Bonanova",128
2019,"SARRIA-SANT GERVASI","Sarrià",108
2019,"SARRIA-SANT GERVASI","Vallvidrera el Tibidabo i les Planes",12
2020,"CIUTAT VELLA","el Barri Gòtic",772
2020,"CIUTAT VELLA","el Raval",792
2020,"CIUTAT VELLA","la Barceloneta",240
2020,"CIUTAT VELLA","Sant Pere Santa Caterina i la Ribera",644
2020,"GRACIA","el Camp d'en Grassot i Gràcia Nova",908
2020,"GRACIA","el Coll",80
2020,"GRACIA","la Salut",148
2020,"GRACIA","la Vila de Gràcia",3008
2020,"GRACIA","Vallcarca i els Penitents",160
2020,"HORTA-GUINARDÓ","Can Baró",80
2020,"HORTA-GUINARDÓ","el Baix Guinardó",424
2020,"HORTA-GUINARDÓ","el Carmel",132
2020,"HORTA-GUINARDÓ","el Guinardó",280
2020,"HORTA-GUINARDÓ","Horta",24
2020,"HORTA-GUINARDÓ","la Font d'en Fargues",16
2020,"HORTA-GUINARDÓ","la Teixonera",36
2020,"HORTA-GUINARDÓ","la Vall d'Hebron",4
2020,"HORTA-GUINARDÓ","Sant Genís dels Agudells",12
2020,"L'EIXAMPLE","el Fort Pienc",1324
2020,"L'EIXAMPLE","l'Antiga Esquerra de l'Eixample",2824
2020,"L'EIXAMPLE","la Dreta de l'Eixample",6588
2020,"L'EIXAMPLE","la Nova Esquerra de l'Eixample",1648
2020,"L'EIXAMPLE","la Sagrada Família",3068
2020,"L'EIXAMPLE","Sant Antoni",2340
2020,"LES CORTS","la Maternitat i Sant Ramon",184
2020,"LES CORTS","les Corts",832
2020,"LES CORTS","Pedralbes",44
2020,"NOU BARRIS","Canyelles",4
2020,"NOU BARRIS","la Guineueta",4
2020,"NOU BARRIS","la Prosperitat",12
2020,"NOU BARRIS","les Roquetes",8
2020,"NOU BARRIS","Porta",40
2020,"NOU BARRIS","Verdun",12
2020,"NOU BARRIS","Vilapicina i la Torre Llobeta",36
2020,"SANT ANDREU","el Bon Pastor",4
2020,"SANT ANDREU","el Congrés i els Indians",24
2020,"SANT ANDREU","la Sagrera",88
2020,"SANT ANDREU","la Trinitat Vella",16
2020,"SANT ANDREU","Navas",68
2020,"SANT ANDREU","Sant Andreu",112
2020,"SANT MARTI","Diagonal Mar i el Front Marítim del Poblenou",512
2020,"SANT MARTI","el Besòs i el Maresme",128
2020,"SANT MARTI","el Camp de l'Arpa del Clot",1064
2020,"SANT MARTI","el Clot",200
2020,"SANT MARTI","el Parc i la Llacuna del Poblenou",404
2020,"SANT MARTI","el Poblenou",1556
2020,"SANT MARTI","la Verneda i la Pau",36
2020,"SANT MARTI","la Vila Olímpica del Poblenou",432
2020,"SANT MARTI","Provençals del Poblenou",136
2020,"SANT MARTI","Sant Martí de Provençals",60
2020,"SANTS-MONTJUÏC","el Poble Sec",2064
2020,"SANTS-MONTJUÏC","Hostafrancs",708
2020,"SANTS-MONTJUÏC","la Bordeta",176
2020,"SANTS-MONTJUÏC","la Font de la Guatlla",292
2020,"SANTS-MONTJUÏC","la Marina de Port",28
2020,"SANTS-MONTJUÏC","la Marina del Prat Vermell",12
2020,"SANTS-MONTJUÏC","Sants",980
2020,"SANTS-MONTJUÏC","Sants - Badal",424
2020,"SARRIA-SANT GERVASI","el Putxet i el Farró",620
2020,"SARRIA-SANT GERVASI","les Tres Torres",140
2020,"SARRIA-SANT GERVASI","Sant Gervasi - Galvany",976
2020,"SARRIA-SANT GERVASI","Sant Gervasi - la Bonanova",128
2020,"SARRIA-SANT GERVASI","Sarrià",108
2020,"SARRIA-SANT GERVASI","Vallvidrera el Tibidabo i les Planes",12
2021,"CIUTAT VELLA","el Barri Gòtic",772
2021,"CIUTAT VELLA","el Raval",792
2021,"CIUTAT VELLA","la Barceloneta",240
2021,"CIUTAT VELLA","Sant Pere Santa Caterina i la Ribera",644
2021,"GRACIA","el Camp d'en Grassot i Gràcia Nova",908
2021,"GRACIA","el Coll",80
2021,"GRACIA","la Salut",148
2021,"GRACIA","la Vila de Gràcia",3008
2021,"GRACIA","Vallcarca i els Penitents",160
2021,"HORTA-GUINARDÓ","Can Baró",80
2021,"HORTA-GUINARDÓ","el Baix Guinardó",424
2021,"HORTA-GUINARDÓ","el Carmel",132
2021,"HORTA-GUINARDÓ","el Guinardó",280
2021,"HORTA-GUINARDÓ","Horta",24
2021,"HORTA-GUINARDÓ","la Font d'en Fargues",16
2021,"HORTA-GUINARDÓ","la Teixonera",36
2021,"HORTA-GUINARDÓ","la Vall d'Hebron",4
2021,"HORTA-GUINARDÓ","Sant Genís dels Agudells",12
2021,"L'EIXAMPLE","el Fort Pienc",1324
2021,"L'EIXAMPLE","l'Antiga Esquerra de l'Eixample",2824
2021,"L'EIXAMPLE","la Dreta de l'Eixample",6588
2021,"L'EIXAMPLE","la Nova Esquerra de l'Eixample",1648
2021,"L'EIXAMPLE","la Sagrada Família",3068
2021,"L'EIXAMPLE","Sant Antoni",2340
2021,"LES CORTS","la Maternitat i Sant Ramon",184
2021,"LES CORTS","les Corts",832
2021,"LES CORTS","Pedralbes",44
2021,"NOU BARRIS","Canyelles",4
2021,"NOU BARRIS","la Guineueta",4
2021,"NOU BARRIS","la Prosperitat",12
2021,"NOU BARRIS","les Roquetes",8
2021,"NOU BARRIS","Porta",40
2021,"NOU BARRIS","Verdun",12
2021,"NOU BARRIS","Vilapicina i la Torre Llobeta",36
2021,"SANT ANDREU","el Bon Pastor",4
2021,"SANT ANDREU","el Congrés i els Indians",24
2021,"SANT ANDREU","la Sagrera",88
2021,"SANT ANDREU","la Trinitat Vella",16
2021,"SANT ANDREU","Navas",68
2021,"SANT ANDREU","Sant Andreu",112
2021,"SANT MARTI","Diagonal Mar i el Front Marítim del Poblenou",512
2021,"SANT MARTI","el Besòs i el Maresme",128
2021,"SANT MARTI","el Camp de l'Arpa del Clot",1064
2021,"SANT MARTI","el Clot",200
2021,"SANT MARTI","el Parc i la Llacuna del Poblenou",404
2021,"SANT MARTI","el Poblenou",1556
2021,"SANT MARTI","la Verneda i la Pau",36
2021,"SANT MARTI","la Vila Olímpica del Poblenou",432
2021,"SANT MARTI","Provençals del Poblenou",136
2021,"SANT MARTI","Sant Martí de Provençals",60
2021,"SANTS-MONTJUÏC","el Poble Sec",2064
2021,"SANTS-MONTJUÏC","Hostafrancs",708
2021,"SANTS-MONTJUÏC","la Bordeta",176
2021,"SANTS-MONTJUÏC","la Font de la Guatlla",292
2021,"SANTS-MONTJUÏC","la Marina de Port",28
2021,"SANTS-MONTJUÏC","la Marina del Prat Vermell",12
2021,"SANTS-MONTJUÏC","Sants",980
2021,"SANTS-MONTJUÏC","Sants - Badal",424
2021,"SARRIA-SANT GERVASI","el Putxet i el Farró",620
2021,"SARRIA-SANT GERVASI","les Tres Torres",140
2021,"SARRIA-SANT GERVASI","Sant Gervasi - Galvany",976
2021,"SARRIA-SANT GERVASI","Sant Gervasi - la Bonanova",128
2021,"SARRIA-SANT GERVASI","Sarrià",108
2021,"SARRIA-SANT GERVASI","Vallvidrera el Tibidabo i les Planes",12
